127.0.0.1 - - [18/Dec/2014:09:47:37 +0100] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [18/Dec/2014:09:51:18 +0100] "POST /05_TodoApp/index.jsp HTTP/1.1" 200 3991
0:0:0:0:0:0:0:1 - - [18/Dec/2014:09:51:18 +0100] "GET /05_TodoApp/res/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:09:51:18 +0100] "GET /05_TodoApp/res/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:09:51:18 +0100] "GET /05_TodoApp/res/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:09:51:18 +0100] "GET /05_TodoApp/res/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:09:51:18 +0100] "GET /05_TodoApp/res/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:09:51:19 +0100] "POST /05_TodoApp/index.jsp HTTP/1.1" 200 3991
0:0:0:0:0:0:0:1 - - [18/Dec/2014:09:51:19 +0100] "GET /05_TodoApp/res/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:09:51:19 +0100] "GET /05_TodoApp/res/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:09:51:19 +0100] "GET /05_TodoApp/res/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:09:51:19 +0100] "GET /05_TodoApp/res/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:09:51:19 +0100] "GET /05_TodoApp/res/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:09:51:22 +0100] "GET /05_TodoApp/index.jsp?type=delete&id=3 HTTP/1.1" 200 3540
0:0:0:0:0:0:0:1 - - [18/Dec/2014:09:52:12 +0100] "GET /05_TodoApp/index.jsp?type=delete&id=1 HTTP/1.1" 200 3094
0:0:0:0:0:0:0:1 - - [18/Dec/2014:09:55:00 +0100] "GET /05_TodoApp/index.jsp?type=delete&id=1 HTTP/1.1" 200 3242
0:0:0:0:0:0:0:1 - - [18/Dec/2014:09:55:00 +0100] "GET /05_TodoApp/res/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:09:55:00 +0100] "GET /05_TodoApp/res/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:09:55:00 +0100] "GET /05_TodoApp/res/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:09:55:00 +0100] "GET /05_TodoApp/res/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:09:55:00 +0100] "GET /05_TodoApp/res/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:09:55:08 +0100] "POST /05_TodoApp/index.jsp HTTP/1.1" 200 3691
0:0:0:0:0:0:0:1 - - [18/Dec/2014:09:55:15 +0100] "POST /05_TodoApp/index.jsp HTTP/1.1" 200 4142
0:0:0:0:0:0:0:1 - - [18/Dec/2014:09:55:19 +0100] "GET /05_TodoApp/index.jsp?type=delete&id=3 HTTP/1.1" 200 3691
0:0:0:0:0:0:0:1 - - [18/Dec/2014:09:55:27 +0100] "GET /05_TodoApp/index.jsp?type=delete&id=2 HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:00:43 +0100] "GET /05_TodoApp/index.jsp?type=delete&id=2 HTTP/1.1" 200 3242
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:00:43 +0100] "GET /05_TodoApp/res/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:00:43 +0100] "GET /05_TodoApp/res/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:00:43 +0100] "GET /05_TodoApp/res/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:00:43 +0100] "GET /05_TodoApp/res/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:00:43 +0100] "GET /05_TodoApp/res/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:00:50 +0100] "POST /05_TodoApp/index.jsp HTTP/1.1" 200 3688
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:00:52 +0100] "GET /05_TodoApp/index.jsp?type=delete&id=2 HTTP/1.1" 200 3242
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:00:58 +0100] "GET /05_TodoApp/index.jsp?type=delete&id=1 HTTP/1.1" 200 2795
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:01:05 +0100] "POST /05_TodoApp/index.jsp HTTP/1.1" 200 3239
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:01:16 +0100] "POST /05_TodoApp/index.jsp HTTP/1.1" 500 2903
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:01:26 +0100] "POST /05_TodoApp/index.jsp HTTP/1.1" 200 3685
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:05:25 +0100] "POST /05_TodoApp/index.jsp HTTP/1.1" 200 3703
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:05:25 +0100] "GET /05_TodoApp/res/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:05:25 +0100] "GET /05_TodoApp/res/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:05:25 +0100] "GET /05_TodoApp/res/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:05:25 +0100] "GET /05_TodoApp/res/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:05:25 +0100] "GET /05_TodoApp/res/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:05:25 +0100] "POST /05_TodoApp/index.jsp HTTP/1.1" 200 3703
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:05:25 +0100] "GET /05_TodoApp/res/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:05:25 +0100] "GET /05_TodoApp/res/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:05:25 +0100] "GET /05_TodoApp/res/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:05:25 +0100] "GET /05_TodoApp/res/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:05:25 +0100] "GET /05_TodoApp/res/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:05:41 +0100] "GET /05_TodoApp/index.jsp?type=delete&id=2 HTTP/1.1" 200 3256
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:08:26 +0100] "GET /05_TodoApp/index.jsp?type=delete&id=2 HTTP/1.1" 200 3259
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:08:26 +0100] "GET /05_TodoApp/res/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:08:26 +0100] "GET /05_TodoApp/res/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:08:26 +0100] "GET /05_TodoApp/res/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:08:26 +0100] "GET /05_TodoApp/res/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:08:26 +0100] "GET /05_TodoApp/res/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:09:13 +0100] "POST /05_TodoApp/index.jsp HTTP/1.1" 200 3259
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:13:55 +0100] "POST /05_TodoApp/index.jsp HTTP/1.1" 200 3393
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:13:55 +0100] "GET /05_TodoApp/res/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:13:55 +0100] "GET /05_TodoApp/res/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:13:55 +0100] "GET /05_TodoApp/res/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:13:55 +0100] "GET /05_TodoApp/res/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:13:55 +0100] "GET /05_TodoApp/res/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:14:02 +0100] "POST /05_TodoApp/index.jsp HTTP/1.1" 200 3838
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:14:04 +0100] "GET /05_TodoApp/index.jsp?type=delete&id=2 HTTP/1.1" 200 3393
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:14:08 +0100] "GET /05_TodoApp/index.jsp?type=delete&id=1 HTTP/1.1" 200 2948
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:14:15 +0100] "POST /05_TodoApp/index.jsp HTTP/1.1" 200 3393
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:14:18 +0100] "GET /05_TodoApp/index.jsp?type=delete&id=1 HTTP/1.1" 200 2948
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:14:55 +0100] "GET /05_TodoApp/index.jsp?type=delete&id=1 HTTP/1.1" 200 2794
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:14:55 +0100] "GET /05_TodoApp/res/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:14:55 +0100] "GET /05_TodoApp/res/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:14:55 +0100] "GET /05_TodoApp/res/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:14:55 +0100] "GET /05_TodoApp/res/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:15:01 +0100] "POST /05_TodoApp/index.jsp HTTP/1.1" 200 3239
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:15:01 +0100] "GET /05_TodoApp/res/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:15:04 +0100] "GET /05_TodoApp/index.jsp?type=update&id=1 HTTP/1.1" 500 2886
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:16:33 +0100] "GET /05_TodoApp/index.jsp?type=update&id=1 HTTP/1.1" 500 2886
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:17:24 +0100] "POST /05_TodoApp/index.jsp HTTP/1.1" 200 3239
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:17:24 +0100] "GET /05_TodoApp/res/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:17:24 +0100] "GET /05_TodoApp/res/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:17:24 +0100] "GET /05_TodoApp/res/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:17:24 +0100] "GET /05_TodoApp/res/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:17:24 +0100] "GET /05_TodoApp/res/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:17:26 +0100] "GET /05_TodoApp/index.jsp?type=update&id=1 HTTP/1.1" 200 3239
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:24:13 +0100] "GET /05_TodoApp/index.jsp?type=update&id=1 HTTP/1.1" 200 3224
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:24:13 +0100] "GET /05_TodoApp/res/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:24:13 +0100] "GET /05_TodoApp/res/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:24:13 +0100] "GET /05_TodoApp/res/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:24:13 +0100] "GET /05_TodoApp/res/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:24:13 +0100] "GET /05_TodoApp/res/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:24:14 +0100] "GET /05_TodoApp/index.jsp?type=update&id=1 HTTP/1.1" 200 3224
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:24:14 +0100] "GET /05_TodoApp/res/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:24:14 +0100] "GET /05_TodoApp/res/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:24:14 +0100] "GET /05_TodoApp/res/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:24:14 +0100] "GET /05_TodoApp/res/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:24:14 +0100] "GET /05_TodoApp/res/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:24:31 +0100] "GET /05_TodoApp/index.jsp?type=update&id=1 HTTP/1.1" 200 3224
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:24:31 +0100] "GET /05_TodoApp/res/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:24:31 +0100] "GET /05_TodoApp/res/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:24:31 +0100] "GET /05_TodoApp/res/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:24:31 +0100] "GET /05_TodoApp/res/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:24:31 +0100] "GET /05_TodoApp/res/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:24:32 +0100] "GET /05_TodoApp/index.jsp?type=update&id=1 HTTP/1.1" 200 3224
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:24:32 +0100] "GET /05_TodoApp/res/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:24:32 +0100] "GET /05_TodoApp/res/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:24:32 +0100] "GET /05_TodoApp/res/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:24:32 +0100] "GET /05_TodoApp/res/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:24:32 +0100] "GET /05_TodoApp/res/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:24:33 +0100] "GET /05_TodoApp/index.jsp?type=update&id=1 HTTP/1.1" 200 3224
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:24:33 +0100] "GET /05_TodoApp/res/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:24:33 +0100] "GET /05_TodoApp/res/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:24:33 +0100] "GET /05_TodoApp/res/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:24:33 +0100] "GET /05_TodoApp/res/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:24:33 +0100] "GET /05_TodoApp/res/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:24:36 +0100] "GET /05_TodoApp/index.jsp?type=update&id=1 HTTP/1.1" 200 3224
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:24:36 +0100] "GET /05_TodoApp/res/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:24:36 +0100] "GET /05_TodoApp/res/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:24:36 +0100] "GET /05_TodoApp/res/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:24:36 +0100] "GET /05_TodoApp/res/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:24:36 +0100] "GET /05_TodoApp/res/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:25:01 +0100] "GET /05_TodoApp/index.jsp?type=update&id=1 HTTP/1.1" 200 3224
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:25:01 +0100] "GET /05_TodoApp/res/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:25:01 +0100] "GET /05_TodoApp/res/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:25:01 +0100] "GET /05_TodoApp/res/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:25:01 +0100] "GET /05_TodoApp/res/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:25:01 +0100] "GET /05_TodoApp/res/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:25:09 +0100] "GET /05_TodoApp/index.jsp?type=update&id=1 HTTP/1.1" 200 3224
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:25:28 +0100] "GET /05_TodoApp/index.jsp?type=update&id=1 HTTP/1.1" 200 3224
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:25:28 +0100] "GET /05_TodoApp/res/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:25:28 +0100] "GET /05_TodoApp/res/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:25:28 +0100] "GET /05_TodoApp/res/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:25:28 +0100] "GET /05_TodoApp/res/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:25:28 +0100] "GET /05_TodoApp/res/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:25:29 +0100] "GET /05_TodoApp/index.jsp?type=update&id=1 HTTP/1.1" 200 3224
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:25:29 +0100] "GET /05_TodoApp/res/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:25:29 +0100] "GET /05_TodoApp/res/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:25:29 +0100] "GET /05_TodoApp/res/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:25:29 +0100] "GET /05_TodoApp/res/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:25:29 +0100] "GET /05_TodoApp/res/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:26:19 +0100] "GET /05_TodoApp/index.jsp?type=update&id=1 HTTP/1.1" 200 3224
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:26:19 +0100] "GET /05_TodoApp/res/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:26:19 +0100] "GET /05_TodoApp/res/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:26:19 +0100] "GET /05_TodoApp/res/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:26:19 +0100] "GET /05_TodoApp/res/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:26:19 +0100] "GET /05_TodoApp/res/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:26:19 +0100] "GET /05_TodoApp/index.jsp?type=update&id=1 HTTP/1.1" 200 3224
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:26:19 +0100] "GET /05_TodoApp/res/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:26:19 +0100] "GET /05_TodoApp/res/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:26:19 +0100] "GET /05_TodoApp/res/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:26:19 +0100] "GET /05_TodoApp/res/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:26:19 +0100] "GET /05_TodoApp/res/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:26:25 +0100] "POST /05_TodoApp/index.jsp HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:26:26 +0100] "POST /05_TodoApp/index.jsp HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:26:27 +0100] "GET /05_TodoApp/res/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:26:27 +0100] "GET /05_TodoApp/res/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:26:27 +0100] "GET /05_TodoApp/res/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:26:27 +0100] "GET /05_TodoApp/res/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:26:27 +0100] "GET /05_TodoApp/res/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:26:27 +0100] "POST /05_TodoApp/index.jsp HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:26:27 +0100] "GET /05_TodoApp/res/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:26:27 +0100] "GET /05_TodoApp/res/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
